Reference Chord Alignment Report
Generated from reference_chords/english_master_chordbook.txt
===============================================================
- 1 | AAJ KA DIN YEHOVA NE BANAYA HAI | Current Key: N/A | Reference Key: N/A | Interval: 0 | Status: Reference Missing
- 34 | DHANYA DHANYA TUJKHO, PRABHU HUM KAHTE BAAR BAAR | Current Key: N/A | Reference Key: N/A | Interval: 0 | Status: Reference Missing
- 35 | BLESS THE LORD O MY SOUL | Current Key: G | Reference Key: C | Interval: 5 | Status: Transposed
- 35 | DHARTI AKASH DONON, PRABHU KI AAWAZ SUNENGE | Current Key: N/A | Reference Key: N/A | Interval: 0 | Status: Reference Missing
- 36 | JESUS TAKE ME AS I AM | Current Key: C | Reference Key: D | Interval: 2 | Status: Transposed
- 36 | PRABHU MAHAN VICHARUN KARYA TERE | Current Key: N/A | Reference Key: N/A | Interval: 0 | Status: Reference Missing
- 37 | PARAM PITA KI HUM STUTI GAYEN | Current Key: N/A | Reference Key: N/A | Interval: 0 | Status: Reference Missing
- 37 | WHEN I FEEL THE TOUCH | Current Key: G | Reference Key: D | Interval: 7 | Status: Transposed
- 38 | I THANK YOU JESUS FOR YOUR LOVE TO ME | Current Key: G | Reference Key: D | Interval: 7 | Status: Transposed
- 38 | PAAP KA BANDHAN TODA GAYA | Current Key: N/A | Reference Key: N/A | Interval: 0 | Status: Reference Missing
- 39 | I'VE TAKEN MY HARP DOWN | Current Key: G | Reference Key: G | Interval: 0 | Status: Already Correct
- 39 | PRABHU TERE NAM KE LIYE | Current Key: N/A | Reference Key: N/A | Interval: 0 | Status: Reference Missing
- 40 | TERI ARADHANA KARUN | Current Key: N/A | Reference Key: N/A | Interval: 0 | Status: Reference Missing
- 40 | THANK YOU GOD | Current Key: C | Reference Key: D | Interval: 2 | Status: Transposed
- 41 | LET THE BEAUTY OF JESUS | Current Key: N/A | Reference Key: N/A | Interval: 0 | Status: Manual Review Required
- 41 | TERE PAAP DHUL SAKENGE | Current Key: N/A | Reference Key: N/A | Interval: 0 | Status: Reference Missing
- 42 | DEKHO DEKHO KOI AA RAHA HAI | Current Key: N/A | Reference Key: N/A | Interval: 0 | Status: Reference Missing
- 42 | TURN YOUR EYES UPON JESUS | Current Key: N/A | Reference Key: N/A | Interval: 0 | Status: Manual Review Required
- 43 | I HAVE DECIDED TO FOLLOW JESUS | Current Key: N/A | Reference Key: N/A | Interval: 0 | Status: Manual Review Required
- 43 | PAWAN HAI WOH PRABHU HAMARA | Current Key: N/A | Reference Key: N/A | Interval: 0 | Status: Reference Missing
- 44 | BOLO JAI MILKAR JAI | Current Key: N/A | Reference Key: N/A | Interval: 0 | Status: Reference Missing
- 44 | I WANT TO WORSHIP THE LORD | Current Key: N/A | Reference Key: N/A | Interval: 0 | Status: Manual Review Required
- 45 | MERE GEETON KA VISHAY | Current Key: N/A | Reference Key: N/A | Interval: 0 | Status: Reference Missing
- 45 | THIS IS THE DAY | Current Key: N/A | Reference Key: N/A | Interval: 0 | Status: Manual Review Required
- 46 | GIVE ME OIL IN MY LAMP | Current Key: N/A | Reference Key: N/A | Interval: 0 | Status: Manual Review Required
- 46 | MAN KA DEEP JALA | Current Key: N/A | Reference Key: N/A | Interval: 0 | Status: Reference Missing
- 47 | I WAS GLAD WHEN THEY SAID UNTO ME | Current Key: N/A | Reference Key: N/A | Interval: 0 | Status: Manual Review Required
- 47 | MERE DIL MEIN NAYA GANA | Current Key: N/A | Reference Key: N/A | Interval: 0 | Status: Reference Missing
- 48 | MAIN YESHU KE NOOR MEIN SAATH CHALUNGA | Current Key: N/A | Reference Key: N/A | Interval: 0 | Status: Reference Missing
- 48 | PRAISE HIM PRAISE HIM | Current Key: N/A | Reference Key: N/A | Interval: 0 | Status: Manual Review Required
- 49 | JESUS TOOK MY BURDENS | Current Key: N/A | Reference Key: N/A | Interval: 0 | Status: Manual Review Required
- 49 | MAHIMA SE TU JO BHARA HUA | Current Key: N/A | Reference Key: N/A | Interval: 0 | Status: Reference Missing
- 50 | JESUS NAME ABOVE ALL NAMES | Current Key: N/A | Reference Key: N/A | Interval: 0 | Status: Manual Review Required
- 50 | YESHU SALEEB PAR MUA | Current Key: N/A | Reference Key: N/A | Interval: 0 | Status: Reference Missing
- 51 | I WILL EXTOL YOU MY GOD | Current Key: N/A | Reference Key: N/A | Interval: 0 | Status: Manual Review Required
- 51 | YESHU NE APNA KHOON BAHAKE | Current Key: N/A | Reference Key: N/A | Interval: 0 | Status: Reference Missing
- 52 | LET THERE BE LOVE | Current Key: N/A | Reference Key: N/A | Interval: 0 | Status: Manual Review Required
- 52 | YAHOVA CHARVAHA MERA | Current Key: N/A | Reference Key: N/A | Interval: 0 | Status: Reference Missing
- 53 | FOR THOU O LORD | Current Key: N/A | Reference Key: N/A | Interval: 0 | Status: Manual Review Required
- 53 | RAJAON KA RAJA YESHU RAJA | Current Key: N/A | Reference Key: N/A | Interval: 0 | Status: Reference Missing
- 54 | BY HIS WORD | Current Key: N/A | Reference Key: N/A | Interval: 0 | Status: Manual Review Required
- 54 | RABB KI HOWE SANNA HAMESHA | Current Key: N/A | Reference Key: N/A | Interval: 0 | Status: Reference Missing
- 55 | FATHER WE LOVE / WORSHIP YOU | Current Key: N/A | Reference Key: N/A | Interval: 0 | Status: Manual Review Required
- 55 | HUM MASIHI RAHI | Current Key: N/A | Reference Key: N/A | Interval: 0 | Status: Reference Missing
- 56 | SARI SRISHTI KE MALIK TUMHI HO | Current Key: N/A | Reference Key: N/A | Interval: 0 | Status: Reference Missing
- 56 | WHOM I HAVE IN HEAVEN | Current Key: N/A | Reference Key: N/A | Interval: 0 | Status: Manual Review Required
- 57 | HALLELUYA STUTI GAYE HUM | Current Key: N/A | Reference Key: N/A | Interval: 0 | Status: Reference Missing
- 57 | IT IS NO SECRET | Current Key: N/A | Reference Key: N/A | Interval: 0 | Status: Manual Review Required
- 58 | ALL HAIL KING JESUS | Current Key: N/A | Reference Key: N/A | Interval: 0 | Status: Manual Review Required
- 58 | HE DULHAN HO TAIYAR | Current Key: N/A | Reference Key: N/A | Interval: 0 | Status: Reference Missing
- 59 | LET THE BOOK LIVE | Current Key: N/A | Reference Key: N/A | Interval: 0 | Status: Manual Review Required
- 59 | MERE PRABHUJI, TUHI HAI SAHARA | Current Key: N/A | Reference Key: N/A | Interval: 0 | Status: Reference Missing
- 60 | ALMIGHTY GOD | Current Key: N/A | Reference Key: N/A | Interval: 0 | Status: Manual Review Required
- 60 | SAMPOORN JEEVAN MERA | Current Key: N/A | Reference Key: N/A | Interval: 0 | Status: Reference Missing
- 61 | CHANGE MY HEART O LORD | Current Key: N/A | Reference Key: N/A | Interval: 0 | Status: Manual Review Required
- 61 | SUN LO MERE BHAIYON | Current Key: N/A | Reference Key: N/A | Interval: 0 | Status: Reference Missing
- 62 | AE HAMARE BAAP | Current Key: N/A | Reference Key: N/A | Interval: 0 | Status: Reference Missing
- 62 | FLOW THROUGH ME | Current Key: N/A | Reference Key: N/A | Interval: 0 | Status: Manual Review Required
- 63 | BANE RAHO TUM | Current Key: N/A | Reference Key: N/A | Interval: 0 | Status: Reference Missing
- 63 | GOD RICH IN MERCY | Current Key: N/A | Reference Key: N/A | Interval: 0 | Status: Manual Review Required
- 64 | HE IS MY EVERYTHING | Current Key: N/A | Reference Key: N/A | Interval: 0 | Status: Manual Review Required
- 64 | YESHU RAJA HO MALIK TUM MERE | Current Key: N/A | Reference Key: N/A | Interval: 0 | Status: Reference Missing
- 65 | GOD IS GOOD TO ME | Current Key: N/A | Reference Key: N/A | Interval: 0 | Status: Manual Review Required
- 65 | PAVITRA ATMA AA | Current Key: N/A | Reference Key: N/A | Interval: 0 | Status: Reference Missing
- 66 | GIVE THANKS | Current Key: N/A | Reference Key: N/A | Interval: 0 | Status: Manual Review Required
- 66 | KHUSHI HI KHUSHI HAI | Current Key: N/A | Reference Key: N/A | Interval: 0 | Status: Reference Missing
- 67 | THY LOVING KINDNESS | Current Key: N/A | Reference Key: N/A | Interval: 0 | Status: Manual Review Required
- 67 | YAHOVA NISSI | Current Key: N/A | Reference Key: N/A | Interval: 0 | Status: Reference Missing
- 68 | HE'S A MIRACLE-WORKING GOD | Current Key: N/A | Reference Key: N/A | Interval: 0 | Status: Manual Review Required
- 68 | MILKAR HUM SANNA TERI GATE | Current Key: N/A | Reference Key: N/A | Interval: 0 | Status: Reference Missing
- 69 | HE IS LORD HE IS LORD | Current Key: N/A | Reference Key: N/A | Interval: 0 | Status: Manual Review Required
- 69 | KRUS KI KAHANI BHI KYA AJEEB HAI | Current Key: N/A | Reference Key: N/A | Interval: 0 | Status: Reference Missing
- 70 | AADI MEIN VACHAN THA | Current Key: N/A | Reference Key: N/A | Interval: 0 | Status: Reference Missing
- 70 | WE BRING A SACRIFICE | Current Key: N/A | Reference Key: N/A | Interval: 0 | Status: Manual Review Required
- 71 | COKE QURBAN HAR GUNAH SE | Current Key: N/A | Reference Key: N/A | Interval: 0 | Status: Reference Missing
- 71 | IN MOMENTS LIKE THESE | Current Key: N/A | Reference Key: N/A | Interval: 0 | Status: Manual Review Required
- 72 | ANAND SE GEET GAO | Current Key: N/A | Reference Key: N/A | Interval: 0 | Status: Reference Missing
- 72 | IT'S YOUR BLOOD | Current Key: N/A | Reference Key: N/A | Interval: 0 | Status: Manual Review Required
- 73 | HO SHUKRIYA KHUDA KA | Current Key: N/A | Reference Key: N/A | Interval: 0 | Status: Reference Missing
- 73 | JESUS WE ENTHRONE YOU | Current Key: N/A | Reference Key: N/A | Interval: 0 | Status: Manual Review Required
- 74 | KNOW YE NOT | Current Key: N/A | Reference Key: N/A | Interval: 0 | Status: Manual Review Required
- 74 | PRABHU KA ANAND HAI MERI TAQAT | Current Key: N/A | Reference Key: N/A | Interval: 0 | Status: Reference Missing
- 75 | LET YOUR WORD BE BORN | Current Key: N/A | Reference Key: N/A | Interval: 0 | Status: Manual Review Required
- 75 | SABSE UNCHA NAAM PRABHU | Current Key: N/A | Reference Key: N/A | Interval: 0 | Status: Reference Missing
- 76 | MAJESTY WORSHIP HIS MAJESTY | Current Key: N/A | Reference Key: N/A | Interval: 0 | Status: Manual Review Required
- 76 | YESHU HAI MERA MUKTIDHAM | Current Key: N/A | Reference Key: N/A | Interval: 0 | Status: Reference Missing
- 77 | DIL MERA LE LE PYARE YESHU | Current Key: N/A | Reference Key: N/A | Interval: 0 | Status: Reference Missing
- 77 | OPEN MY EYES LORD | Current Key: N/A | Reference Key: N/A | Interval: 0 | Status: Manual Review Required
- 78 | THANK YOU THANK YOU JESUS | Current Key: N/A | Reference Key: N/A | Interval: 0 | Status: Manual Review Required
- 78 | YESHU NAAM MEIN UDDHAR HUMKO | Current Key: N/A | Reference Key: N/A | Interval: 0 | Status: Reference Missing
- 79 | RAHON MEIN KANTE AGAR HO | Current Key: N/A | Reference Key: N/A | Interval: 0 | Status: Reference Missing
- 79 | STAND BY ME | Current Key: N/A | Reference Key: N/A | Interval: 0 | Status: Manual Review Required
- 80 | APNA DIL KHOLO BAND NA KARO | Current Key: N/A | Reference Key: N/A | Interval: 0 | Status: Reference Missing
- 80 | VICTORY IS MINE | Current Key: N/A | Reference Key: N/A | Interval: 0 | Status: Manual Review Required
- 81 | LE CHAL HUME TU PAVITRA ATMA | Current Key: N/A | Reference Key: N/A | Interval: 0 | Status: Reference Missing
- 81 | WHAT A MIGHTY GOD | Current Key: N/A | Reference Key: N/A | Interval: 0 | Status: Manual Review Required
- 82 | AA YESHU PASS AA | Current Key: N/A | Reference Key: N/A | Interval: 0 | Status: Reference Missing
- 82 | WE ARE HERE TO PRAISE YOU | Current Key: N/A | Reference Key: N/A | Interval: 0 | Status: Manual Review Required
- 83 | JEEVAN SE BEHTAR KARUNA TERI | Current Key: N/A | Reference Key: N/A | Interval: 0 | Status: Reference Missing
- 83 | WHEN I LOOK INTO YOUR HOLINESS | Current Key: N/A | Reference Key: N/A | Interval: 0 | Status: Manual Review Required
- 84 | ARADHANA HUM YESHU KI KARE | Current Key: N/A | Reference Key: N/A | Interval: 0 | Status: Reference Missing
- 84 | YOU ARE MY HIDING PLACE | Current Key: N/A | Reference Key: N/A | Interval: 0 | Status: Manual Review Required
- 85 | EVERY PROMISE | Current Key: N/A | Reference Key: N/A | Interval: 0 | Status: Manual Review Required
- 85 | SHUNYA SE LEKAR TUNE MUJHE | Current Key: N/A | Reference Key: N/A | Interval: 0 | Status: Reference Missing
- 86 | ANUGRAH, ANUGRAH, ANUGRAH | Current Key: N/A | Reference Key: N/A | Interval: 0 | Status: Reference Missing
- 86 | FATHER IN HEAVEN | Current Key: N/A | Reference Key: N/A | Interval: 0 | Status: Manual Review Required
- 87 | I'M FOLLOWING JESUS | Current Key: N/A | Reference Key: N/A | Interval: 0 | Status: Manual Review Required
- 87 | YESHU KO MEIN SAB KUCH DETA | Current Key: N/A | Reference Key: N/A | Interval: 0 | Status: Reference Missing
- 88 | COME BLESS THE LORD | Current Key: N/A | Reference Key: N/A | Interval: 0 | Status: Manual Review Required
- 88 | PRABHU TERA HUN TERE VACHAN SE | Current Key: N/A | Reference Key: N/A | Interval: 0 | Status: Reference Missing
- 89 | SHACKLED BY A HEAVY BURDEN | Current Key: N/A | Reference Key: N/A | Interval: 0 | Status: Manual Review Required
- 89 | YEHOVA YIRE, UPAYA KARNE WALE | Current Key: N/A | Reference Key: N/A | Interval: 0 | Status: Reference Missing
- 90 | CHHOD NA MUJHE PYARE YESHU | Current Key: N/A | Reference Key: N/A | Interval: 0 | Status: Reference Missing
- 90 | FOR I'M BUILDING A PEOPLE OF POWER | Current Key: N/A | Reference Key: N/A | Interval: 0 | Status: Manual Review Required
- 91 | HOVEGI BARKAT KI BARISH | Current Key: N/A | Reference Key: N/A | Interval: 0 | Status: Reference Missing
- 91 | LET THE REDEEMED | Current Key: N/A | Reference Key: N/A | Interval: 0 | Status: Manual Review Required
- 92 | MAIN JAB PUKARU TUJHE | Current Key: N/A | Reference Key: N/A | Interval: 0 | Status: Reference Missing
- 92 | UNTO THEE O LORD | Current Key: N/A | Reference Key: N/A | Interval: 0 | Status: Manual Review Required
- 93 | SADA MEIN STUTI KARUNGA | Current Key: N/A | Reference Key: N/A | Interval: 0 | Status: Reference Missing
- 93 | THANK YOU JESUS | Current Key: N/A | Reference Key: N/A | Interval: 0 | Status: Manual Review Required
- 94 | JUST ONE MORE TIME | Current Key: N/A | Reference Key: N/A | Interval: 0 | Status: Manual Review Required
- 94 | KUS KE PASS TU MUJHE RAKH | Current Key: N/A | Reference Key: N/A | Interval: 0 | Status: Reference Missing
- 95 | APNE GHUTNON PE HUM AAKAR | Current Key: N/A | Reference Key: N/A | Interval: 0 | Status: Reference Missing
- 95 | HOLY SPIRIT WE WELCOME YOU | Current Key: N/A | Reference Key: N/A | Interval: 0 | Status: Manual Review Required
- 96 | LET'S TALK ABOUT JESUS | Current Key: N/A | Reference Key: N/A | Interval: 0 | Status: Manual Review Required
- 96 | MERI PYASI ANKHE | Current Key: N/A | Reference Key: N/A | Interval: 0 | Status: Reference Missing
- 97 | BLESSED BE THE NAME OF THE LORD | Current Key: N/A | Reference Key: N/A | Interval: 0 | Status: Manual Review Required
- 97 | SWARGIYA ASHISH DE | Current Key: N/A | Reference Key: N/A | Interval: 0 | Status: Reference Missing
- 98 | HE CARETH FOR YOU | Current Key: N/A | Reference Key: N/A | Interval: 0 | Status: Manual Review Required
- 98 | SARE JAGAT SE PYAR KIYA | Current Key: N/A | Reference Key: N/A | Interval: 0 | Status: Reference Missing
- 99 | AH LORD GOD | Current Key: N/A | Reference Key: N/A | Interval: 0 | Status: Manual Review Required
- 99 | PRABHU TU HAI CHANDI SE BHI KIMTI | Current Key: N/A | Reference Key: N/A | Interval: 0 | Status: Reference Missing
- 100 | AMBAR BHI NAYA | Current Key: N/A | Reference Key: N/A | Interval: 0 | Status: Reference Missing
- 100 | WE HAVE COME INTO HIS HOUSE | Current Key: N/A | Reference Key: N/A | Interval: 0 | Status: Manual Review Required
- 101 | HE BROUGHT ME TO HIS BANQUETING TABLE | Current Key: N/A | Reference Key: N/A | Interval: 0 | Status: Reference Missing
- 101 | HE YEHOVA BAL MERE | Current Key: N/A | Reference Key: N/A | Interval: 0 | Status: Reference Missing
- 102 | DHARA JO BAHTI SALIB SE | Current Key: N/A | Reference Key: N/A | Interval: 0 | Status: Reference Missing
- 102 | I'VE GOT THE JOY DOWN IN MY HEART | Current Key: D | Reference Key: G | Interval: 5 | Status: Transposed
- 103 | I'M SO GLAD JESUS SET ME FREE | Current Key: N/A | Reference Key: N/A | Interval: 0 | Status: Reference Missing
- 103 | O AKASH AUR SURYA CHANDRAMA | Current Key: N/A | Reference Key: N/A | Interval: 0 | Status: Reference Missing
- 104 | ALL HEAVENS DECLARE | Current Key: N/A | Reference Key: N/A | Interval: 0 | Status: Reference Missing
- 104 | YESHU MASIH NE MUJHE | Current Key: N/A | Reference Key: N/A | Interval: 0 | Status: Reference Missing
