===== ENGLISH =====
English 1 | Spirit of the Living God | Key: F
English 77 | Openmyeyes Lord | Key: D
English 82 | WEAREHERETOPRAISEYOU | Key: D
English 84 | WHENILOOKINTOYOURHOLINESS | Key: D
English 87 | Imfollowing Jesus | Key: F
English 88 | COMEBLESSTHELORDALLYESERVANTSOFTHELORD | Key: G
English 95 | Holy Spiritwewelcomeyou | Key: C
English 97 | Blessedbethenameofthe Lord Heisworthytobepraised | Key: F
English 99 | Ah Lord God Thouhastmadetheheavens | Key: C
English 100 | Wehavecomeinto Hishouse | Key: F
English 104 | All Heavens Declare | Key: A
English 105 | JESUSWHATAWONDERYOUARE | Key: G
English 110 | GIVEHEEDTOMYWORDSOLORD | Key: F
English 111 | Takeupyour Cross | Key: F
English 112 | HAVEYOURWAY | Key: G
English 115 | The Moveisonmy Lord | Key: C
English 119 | LORDGIVEMEALSOSPRINGSOFWATER | Key: E
English 120 | Amazing Grace How Sweet That Sound | Key: G
English 121 | Theycomefromtheeastandwest | Key: D
English 123 | Ilove Himbecausehefirstlovedme | Key: A
English 125 | IAMTHINKINGOFTHERAPTURE | Key: F
English 128 | WHENTHEBATTLEISOVER | Key: F
English 130 | WEAREMARCHINGTOZION | Key: G
English 136 | Isurrender All | Key: D
English 137 | Letmewalk Fillmyway | Key: F
English 141 | LOVELIFTEDME | Key: A
English 142 | Thereshallbeshowersofblessings | Key: A
English 144 | Iamthine Oh Lord Drawmenearer | Key: E
English 145 | Ihavelostmy Reputation IAMMARKED | Key: A
English 148 | JESUSHASATABLESPREAD | Key: C
English 149 | Inthesweetbyandby | Key: G
English 152 | Shallwegatherattheriver | Key: E
English 156 | Praisethe Lord | Key: G
English 161 | Thereisafountainfilledwithblood | Key: Bb
English 162 | MINEEYESHAVESEENTHEGLORY | Key: G
English 163 | WHENTHETRUMPETOFTHELORDWHENTHEROLL | Key: F
English 166 | SPEAKMYLORD | Key: G
English 167 | Theloveof Godisgreaterfar | Key: F
English 175 | When Hereacheddown Hishandforme Iwaslost | Key: C
English 178 | O Lord My God | Key: C
English 182 | Allhailthe Powerof Jesus Name | Key: F
English 183 | Atthecrosswhere Ifirstsawthelight | Key: F
English 184 | O Happy Day | Key: G
English 186 | WHENTHESAVIOURCALLS | Key: G
English 188 | Holdto Godsunchanginghand | Key: G
English 189 | Nationsarebreaking Thedayofredemption | Key: F
English 191 | ONAHILLFARAWAYOLDRUGGEDCROSS | Key: G
English 192 | WONDERFULJESUSISTOMEOMYHEARTSINGSTODAY | Key: G
English 193 | IMAPILGRIMANDASTRANGERWHENTHESAINTS | Key: D
English 195 | Thoumyeverlastingportion Closeto Thee | Key: G
English 198 | SUCHLOVESUCHWONDROUSLOVE | Key: G
English 199 | DOWNFROMHISGLORY Ohow Ilove Him | Key: D
English 200 | Blessed Assurance Jesusismine | Key: D
English 201 | Onceourblessed Christof Beauty Ohbeholdthemanofsorrow | Key: D
English 202 | Jesusbreakseveryfetter | Key: A
English 203 | When Isawthe Cleansing Foutain | Key: D
English 204 | Whatafriendwehavein Jesus | Key: G
English 205 | IAMBOUNDFORTHEPROMISEDLANDG205 | Key: G
English 209 | My Hopeisbuiltonnothingless | Key: G
English 214 | Takethenameof Jesuswithyou | Key: G
English 215 | WHATAGATHERING | Key: A
English 218 | The Original Life | Key: A
English 219 | JESUSYOURETHESWEETESTNAME | Key: F
English 220 | Blessthe Lord Omysoulworship Hisholyname | Key: F
English 222 | Letthedewof Heaven Fall | Key: G
English 223 | Jesusisthe Joyofliving | Key: C
English 228 | Thouartworthy | Key: A
English 230 | Into My Heart | Key: F
English 234 | Heishere Heismovingamongus | Key: D
English 235 | Thoudostseekabrideallpureandholy | Key: F
English 238 | Iwillsing Iwillsingasonguntothe Lord | Key: D
English 241 | INTHESEDAYSOFTRIALSSOJUSTBEFAITHFUL | Key: F
English 242 | Gm The Lordsmy Shepherd | Key: F
English 249 | Ohwhatagiftwhatawonderfulgift | Key: D
English 249 | TOGODBETHEGLORY | Key: G
English 253 | ITONLYTAKESASPARK | Key: D
English 254 | Iwillgivethanksto Thee O Lord | Key: C
English 255 | Making Melodyinmyheart | Key: F
English 257 | Letthe Lordhave His Way | Key: G
English 258 | Oh This Is Like Heaven To Me | Key: E
English 268 | Fillmycup Lord | Key: Bb
English 269 | GREATANDMIGHTY | Key: G
English 271 | In Histime | Key: F
English 274 | IDRATHERHAVEJESU Sthananythinginthisworld | Key: D
English 275 | Heis Jehovah Godofcreation | Key: G
English 277 | Jesuspaidit All Ihearthesavioursay | Key: D
English 281 | HOLYHOLYLORDGODALMIGHTY | Key: C
English 282 | ALLFORJESUS | Key: F
English 285 | WHENTHESPIRITOFTHELORD | Key: G
English 289 | Isnt Hewonderful | Key: A
English 292 | IFEELTHEPULL | Key: A
English 308 | Youarebeautifulbeyonddescription | Key: A
English 311 | Hosanna Hosanna | Key: G
English 312 | God Saidsetmypeoplefree Yes Godisgood | Key: G
English 314 | GODISGOODALLTHETIME | Key: D
English 321 | MORELOVEMOREPOWER Am | Key: A
English 323 | Sometrustinchariots | Key: D
English 324 | Taketimetobe Holy | Key: F
English 326 | Hosannablessedbethename | Key: C
English 328 | Ive Believedthe True Report | Key: G
English 329 | WHATWENEEDTHEPILLAROFFIRE | Key: G
English 330 | Thankyou Lord Icomebeforeyoutoday | Key: F
English 338 | HOLYSPIRITTHOUAREWELCOME | Key: A
English 341 | LETSGOUPTOZION | Key: G
English 342 | THESEARETHEDAYSOFELIJAH | Key: C
English 353 | ASWEGATHERINTHISPLACETODAY | Key: F
English 356 | Youaremyrefuge Iwillworshipyou | Key: E
English 366 | Nearermy Godtothee | Key: E
English 372 | Justacloserwalkwiththee | Key: A
English 373 | THEREISALANDOFMILKANDHONE Yl | Key: G
English 1001 | ABOVEALLPOWERSCRUCIFIED | Key: A
English 1002 | Alive Alive Jivit Jivit H0192 | Key: F
English 1003 | All Ioncehelddear | Key: C
English 1004 | Allelujahforour Lord God Almighty Reign | Key: A
English 1005 | Come Thou Fountof Every Blessing | Key: D
English 1006 | El Elah Elohimhowwelongtoworship You | Key: C
English 1007 | Every Praiseistoour God Everywordofworshipwithoneaccord | Key: G
English 1008 | He Lookedbeyondmyfaults Amazing Grace | Key: D
English 1009 | Here I Am To Worship | Key: G
English 1010 | I Enterthe Holyof Holies | Key: F
English 1011 | Holy Words Long Preserved | Key: G
English 1013 | Illsing Praisestoyourname | Key: G
English 1014 | Inyour Presence | Key: G
English 1015 | Its Already Done | Key: G
English 1016 | No Longer Slaves Frommymotherswomb | Key: D
English 1017 | Lord Icometo Thee Powerof Love | Key: A
English 1018 | Our Godisan Awesome God | Key: E
English 1019 | Takemepasttheoutercourt Takemeintotheholyofholies | Key: E
English 1020 | STILL Hidemenowunderyourwings | Key: C
English 1021 | Opentheeyesofmyheart Lord | Key: E
English 1022 | Thankyouforthe Cross | Key: C
English 1023 | Lord Iliftyournameon High | Key: A
English 1024 | Sometimes Hallelujah Sometimes Praisethe Lord | Key: G
English 1025 | Whatshall Irenderunto Jehovah Youvedonesomuchforme | Key: D
English 1026 | In Christ Alonemy Hopeisfound | Key: F
English 1027 | Goodnessof God Ilove You Lord For Yourmercyneverfailsme C1027 | Key: C
English 1028 | Heknowsmyname | Key: D
English 1029 | Hallowedbethyname | Key: F
English 1030 | Youdeservethegloryandthehonour | Key: D
English 1031 | Shouttothe Lordalltheearthletussing | Key: C
English 1032 | Givemethatoldtimereligion | Key: A
English 1033 | Icometothegardenalone | Key: A
English 1034 | Thisisthe Air I Breathe | Key: Bb
English 1035 | Iwillcelebrate | Key: F
English 1036 | Willthecirclebe Unbroken | Key: F
English 1037 | Welcome Holy Spirit | Key: D
English 1038 | Theresaroofupaboveme Thankyou Lordforyourblessingsonme | Key: D
English 1039 | Itiswellwithmy Soul | Key: B

===== HINDI =====
Hindi 1 | आज का Dinyehovahnebanaya | Key: C
Hindi 3 | Nayaa Jeevan Milgaya | Key: F
Hindi 4 | Muktidilaye Yeshunaam | Key: Eb
Hindi 5 | Yeshunekahaajeevankiroti | Key: C
Hindi 9 | Aayehaihumterecharnome | Key: G
Hindi 10 | Siyondeshhamarawahdesh | Key: D
Hindi 11 | Humaayehaiteresharanme | Key: F
Hindi 13 | Jaidenewale Prabhu Yeshuko | Key: D
Hindi 14 | Prabhumerajeevan | Key: G
Hindi 15 | Pyara Yeshukapaigamhumsunaneaayehai | Key: G
Hindi 16 | Sharonkagulaab | Key: F
Hindi 17 | Nileyaasmakepaarjayenge | Key: D
Hindi 18 | Uthatehaiteranaam | Key: G
Hindi 19 | Usnedakhrusaurtelundhela | Key: F
Hindi 21 | Yehovakistutikaro | Key: G
Hindi 26 | Aawazuthaenge | Key: F
Hindi 27 | Aadiauraanttuhihai | Key: A
Hindi 31 | Jai Jai प्रभु येशू Ki | Key: C
Hindi 33 | Jayengeuttamdeshmejarur | Key: F
Hindi 36 | Prabhu Mahaan Vicharukaryatere | Key: Bb
Hindi 40 | Teri Aaradhanakaru | Key: E
Hindi 43 | Pawanhaiwoh Prabhu Hamara | Key: E
Hindi 44 | Bolo Jai Milkerjaibolojaiyeshukijai | Key: D
Hindi 49 | Mahimasetujobharaahua | Key: D
Hindi 52 | Yehovahcharvahhaimera | Key: A
Hindi 53 | Raja Okaraaja Yeshu Raja | Key: G
Hindi 54 | Rabbki Hove Sanna Hamesha | Key: F
Hindi 57 | Hallelujahstutigayehum | Key: A
Hindi 58 | Heydulhanh Otayyar | Key: D
Hindi 62 | Aihamarebaaptu Joaasmanmeyhai | Key: C
Hindi 64 | Yeshu Raja Ho Maliktummere | Key: D
Hindi 65 | Pavitraaatmaaa | Key: G
Hindi 66 | Khushihaikhushihai | Key: F
Hindi 67 | Yehovah Nissi | Key: D
Hindi 68 | Milkarhumsannaterigaate | Key: F
Hindi 70 | Aadimeyvachanthaa | Key: D
Hindi 73 | Ho Shukriyakhudaka | Key: E
Hindi 75 | Sabse Oocha Naam Prabhu | Key: G
Hindi 85 | Anokha Pyaar Shunyaselekar | Key: F
Hindi 100 | Amberbhinayadhartibhinayi | Key: F
Hindi 101 | Hey Yehovah Bal Mere | Key: C
Hindi 103 | Oh Aakashsuryachandrama | Key: A
Hindi 104 | येशू Masihnemujhe Khushi आनंद | Key: E
Hindi 109 | Mahimadengetujhko | Key: G
Hindi 110 | Dhanyanawadx3 | Key: E
Hindi 111 | Prarthanamejobhimangeprarthnakosun | Key: E
Hindi 121 | Gaata Rahemeradil | Key: G
Hindi 122 | Sunosuno Yeshuaayega | Key: Eb
Hindi 124 | Ai Shahoke Shahensha | Key: G
Hindi 125 | Kalisiyakartiintezar | Key: Eb
Hindi 134 | Senaoka Yehovahhamaresungsung | Key: G
Hindi 139 | Gaungamai Terehigeet | Key: F
Hindi 144 | आनंद आनंद Anandhai | Key: B
Hindi 148 | Taariftaarifmilkekarosaaretaarif | Key: D
Hindi 151 | Hamare प्रभु Yeshuji का Naam | Key: A
Hindi 171 | Aapmeraa Raja | Key: E
Hindi 175 | Terapyaarhaimahaanjaijaikar | Key: F
Hindi 176 | Prabhukadhanyavadkarunga | Key: E
Hindi 183 | Tanmanaurdhanuskodo | Key: C
Hindi 186 | Hojaijaikar | Key: F
Hindi 190 | Yeshu Teranaamhaikitnasunder | Key: E
Hindi 192 | Wo Jivitjivitjivithaisadaa | Key: F
Hindi 201 | Yeshuteranaammerasharansthan | Key: G
Hindi 204 | Lechalmeriaatmakotu | Key: B
Hindi 206 | Anandhai Adbhootanandhai | Key: D
Hindi 207 | Mere Jeevanka Maqsad Tuhai | Key: G
Hindi 208 | Yeshu Masih Tere Jaisahai Koi Nahi | Key: G
Hindi 209 | Stuti Aradhana Uppar Jaatihai | Key: G
Hindi 210 | Manto Prabhukamandirhai | Key: D
Hindi 212 | Aradhanah Oaradhanakhudavantyeshukiaradhana | Key: F
Hindi 213 | Duniyabananewaleterijaih O | Key: F
Hindi 216 | Mahimah O Teri Kartehaiterihum Stuti | Key: D
Hindi 218 | Aimereman Yehovahkodhanyadhanyakaho | Key: C
Hindi 220 | Yeshu Kabhina Chhodega | Key: G
Hindi 224 | Vandana Kartehaihum | Key: G
Hindi 225 | Prabhu Parmeshwar Tukitnabhalahai | Key: G
Hindi 226 | Ho Teri Stutiaur Aaradhana | Key: A
Hindi 228 | Utaraautaraa Aasmani Khushisebhardemujko Roti | Key: E
Hindi 229 | Phirsewohaagbarsade | Key: F
Hindi 230 | Prarthanamejokuchhmaangapurakaroaramaan | Key: A
Hindi 2001 | Aasmanbhitaljayegaa | Key: D
Hindi 2002 | Kya De Saktahu Shukriya | Key: F
Hindi 2003 | Dhanyawaadkesaathstutigaunga | Key: D
Hindi 2004 | Aradhana Meyhai Chuttkara | Key: C
Hindi 2005 | Hallelujah2Humgaatebarambar | Key: F
Hindi 2005 | Hey Swargiyapita Aradhana | Key: F
Hindi 2007 | Yeshunaam Mila Mera Jeevan Savargaya | Key: F
Hindi 2008 | Dhanya Dhanya Yeshunaam | Key: A
Hindi 2009 | Teri Stuti Mai Karu Aradhana Karu Dilse | Key: D
Hindi 2010 | Jaata Mai Jaata Kahaa Tuhi Hai Mera Khuda | Key: F
Hindi 2011 | येशू Tu है Sabse महान Tubhalayibinakuchkartanahi | Key: F
Hindi 2012 | Tere Bin Mai Kuch Bhi Nahi | Key: B
Hindi 2013 | Kaise Maiteri Mahima Gaau Ashcharyatere | Key: F
Hindi 2014 | Teri Inayathumparhuihai | Key: D
Hindi 2015 | Roshnihai Terisabse Mahaan | Key: D
Hindi 2016 | Uss Kruskikyabaathai | Key: F
Hindi 2017 | Teri Mahima Gaye Hallelujah | Key: C
Hindi 2018 | Tu Bhalayibinakuchkartanahi Yeshutusabsehaimahaan | Key: D
Hindi 2019 | येशू तेरे Kareeb Aanese | Key: D
Hindi 2020 | m मेरेछोटेह्रदयसेHosanna Yahudiyokerajako | Key: D
Hindi 2021 | Hey Prabhu Yeshuindonopar | Key: F
Hindi 2022 | Yeshunedihaishifaa | Key: D
Hindi 2023 | Aradhana Yeshu Tujhe | Key: B
Hindi 2024 | Tumsa Koi Nahi Tuzhakoninahi | Key: D
Hindi 2026 | Uskephatak Omeypraveshkarunga | Key: E
Hindi 2027 | Chhotebachhokopaasanedo | Key: G
Hindi 2028 | Tere Binamaikuchbhinahi | Key: C
Hindi 2029 | Dhanyavadkare Prabhuki Mahimakare | Key: F
Hindi 2030 | Tere Paasaataahu | Key: D
Hindi 2031 | Kuchnahikuchhnahichahiye Yeshu | Key: D
Hindi 2032 | Chattan Bhavarkebeechme | Key: D
Hindi 2033 | Gin Ginkestutikaru | Key: A
Hindi 2034 | Teri Tarifh O | Key: G
Hindi 2035 | Ekaaghardilme | Key: D
Hindi 2036 | Yeshumeredilmeaa | Key: G
Hindi 2037 | m पवित्रअतिपवित्रस्थानमेंलेचलप्रभुPavitraati Pavitrasthaanmelechal Prabhu | Key: G
Hindi 2038 | Maihaathuthakargaunga | Key: G
Hindi 2039 | Pavitra Mujhebanadey Prabhu | Key: C
Hindi 2040 | Terejaisakaunhai Elshadai Aradhana | Key: A
Hindi 2042 | Merejeevanmeyyeshuteranaam | Key: G
Hindi 2043 | Chalotumkhudakesaathraastasakrahai | Key: A
Hindi 2044 | Heyjivit Prabhu Yeshumaiteriaaradhanakartahu | Key: A
Hindi 2044 | Pavitraaatmaaa Teraswagathai | Key: E
Hindi 2045 | Tupavitrapavitrahai | Key: F

===== MARATHI =====
Marathi 1 | Khristamazat Osarvancha | Key: E
Marathi 2 | धन्यवाद येशूला | Key: G
Marathi 3 | किती आनंद हा स्वर्गीय Anandha | Key: C
Marathi 5 | Yasarvmilunigauya | Key: E
Marathi 11 | Stava Tujhakarudyava | Key: D
Marathi 20 | Kon Mitra Yeshu Vaaniwhatafriend | Key: G
Marathi 1501 | Maazha Yeshu Mala Priyafaar | Key: F
Marathi 1502 | Tuzhasakonhinahi | Key: D
Marathi 1503 | Taaraktohsamarthtoh | Key: F
Marathi 1504 | Tujhidayasanathanaahe | Key: G

===== KONKANI =====
Konkani 378 | Jezu Tujim Utram | Key: G
Konkani 380 | ARGAMTUKASOMIA | Key: G
Konkani 384 | Tukaamin Poleunknam | Key: G
Konkani 385 | Voi Dev Boro Yes Godisgood | Key: G
